"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Central and Western District Promenade—Central Section","Lung Wo Road, Hong Kong","Central & Western","Hong Kong Island","Covered area outside public toilet at the promenade",22.284257,114.163214,"Fountain type",1,"00:00","24:00",,"Cold","Indoor",
"Central and Western District Promenade—Western Wholesale Food Market Section","8, Fung Mat Road, Sai Wan","Central & Western","Hong Kong Island","Near Pier No. 1",22.289208,114.13504,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Central and Western District Promenade—Western Wholesale Food Market Section","8, Fung Mat Road, Sai Wan","Central & Western","Hong Kong Island","Near Pier No. 4",22.290126,114.13874,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chater Garden","Chater Road, Central","Central & Western","Hong Kong Island","Near the entrance of Admiralty Road",22.280036,114.160964,"Fountain type",3,"00:00","24:00",,"Ambient temperature","Outdoor",
"Forbes Street Temporary Playground","J/o Forbes Street & Smithfield, Kennedy Town","Central & Western","Hong Kong Island","Next to Toilet Block",22.281099,114.128183,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Harcourt Garden","Harcourt Road, Admiralty, Hong Kong","Central & Western","Hong Kong Island","Near the Toilet Block",22.278792,114.166777,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Hatton Road Sitting-out Area","Hatton Road, Mid-level","Central & Western","Hong Kong Island","Outside the Accessible Toilet",22.278842,114.138561,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"High West Picnic Area (temporary)","Harlech Road Fitness Trail, The Peak, Hong Kong","Central & Western","Hong Kong Island","Near the Fitness Facilities",22.272817,114.139108,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Hollywood Road Park","Hollywood Road Near Chuk Lin Lane, Sheung Wan","Central & Western","Hong Kong Island","Near the Park Office",22.286169,114.147467,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Eastern Toilet",22.276873,114.163811,"Fountain type",4,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Inside Babycare room",22.276843,114.163824,"Fountain type",1,"06:00","23:00",,"Hot / Cold","Indoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Eastern Entrance near Clock Tower",22.277703,114.162829,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","British Military Statue",22.278075,114.162032,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Near White Bridge of Artificial Lake",22.277559,114.161747,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Central Toilet",22.277606,114.161208,"Fountain type",2,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Walkway to the Conservatory",22.276838,114.161749,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Taichi Garden",22.276693,114.160922,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Footpath near Kennedy Road",22.276538,114.160253,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Near Visual Arts Centre",22.276987,114.159394,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Western Toilet",22.277162,114.159906,"Fountain type",4,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Olympic Square",22.277137,114.16136,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Near Education Centre ",22.276358,114.161432,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Walkway to Toilet at the Entrance of Conservatory",22.277384,114.162185,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park","19 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Children's Playground platform No.1",22.276876,114.159638,"Fountain type",2,"06:00","23:00",,"Cold","Outdoor",
"Hong Kong Park Sports Centre","29 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Outside Men's & Ladies' Changing Room and Toilet on the G/F",22.278421,114.158478,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Hong Kong Park Sports Centre","29 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Outside First Aid Room on the 1/F",22.278421,114.158478,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Hong Kong Squash Centre","23 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Near Squash Court No. 15 on the 2/F",22.278421,114.158478,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Indoor",
"Hong Kong Squash Centre","23 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Corridor at G/F",22.27842,114.1584788,"Non-fountain type",1,"07:00","23:00",,"Hot / Cold","Indoor",
"Hong Kong Squash Centre","23 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Near Squash Court no. 7 on the 1/F",22.27842,114.1584788,"Non-fountain type",1,"07:00","23:00",,"Hot / Cold","Indoor",
"Hong Kong Squash Centre","23 Cotton Tree Drive, Central, Hong Kong","Central & Western","Hong Kong Island","Near the Toilet Block",22.27842,114.1584788,"Non-fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor","For use by venue / facility users"
"Hong Kong Zoological and Botanical Gardens","Albany Road, Central","Central & Western","Hong Kong Island","Fountain Terrace Garden",22.27764,114.156623,"Fountain type",2,"05:00","22:00",,"Ambient temperature","Outdoor",
"Hong Kong Zoological and Botanical Gardens","Albany Road, Central","Central & Western","Hong Kong Island","Children's Playground",22.276798,114.15536,"Fountain type",3,"06:00","19:00",,"Ambient temperature","Outdoor",
"Hong Kong Zoological and Botanical Gardens","Albany Road, Central","Central & Western","Hong Kong Island","Mammals Enclosures (Next to Orangutans' Enclosures)",22.278153,114.155268,"Fountain type",1,"06:00","19:00",,"Ambient temperature","Outdoor",
"Hong Kong Zoological and Botanical Gardens","Albany Road, Central","Central & Western","Hong Kong Island","Education and Exhibition Centre",22.278285,114.15456,"Fountain type",1,"09:00","16:30",,"Ambient temperature","Indoor",
"Kau U Fong Children's Playground","Kau U Fong, Sheung Wan","Central & Western","Hong Kong Island","Near the Toilet Block",22.2843355,114.1528112,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kennedy Town Swimming Pool","Sai Cheung Street North, Kennedy Town, Sai Wan","Central & Western","Hong Kong Island","G/F lobby near the lifts",22.286221,114.131367,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kennedy Town Swimming Pool","Sai Cheung Street North, Kennedy Town, Sai Wan","Central & Western","Hong Kong Island","1/F lobby near the escalator",22.286221,114.131367,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kennedy Town Swimming Pool","Sai Cheung Street North, Kennedy Town, Sai Wan","Central & Western","Hong Kong Island","Pool deck near outdoor Secondary Pool",22.286221,114.131367,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Kennedy Town Swimming Pool","Sai Cheung Street North, Kennedy Town, Sai Wan","Central & Western","Hong Kong Island","Pool deck near Training Pool",22.286221,114.131367,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kennedy Town Temporary Recreation Ground","Sai Ning Street, Kennedy Town","Central & Western","Hong Kong Island","Near the Basketball Court",22.281803,114.121225,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Kennedy Town Temporary Recreation Ground","Sai Ning Street, Kennedy Town","Central & Western","Hong Kong Island","Near the Soccer Pitch",22.281563,114.120517,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"King George V Memorial Park, Hong Kong","J/o Eastern Street & High Street, Sai Ying Pun","Central & Western","Hong Kong Island","Near the Park office",22.285386,114.144152,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"King George V Memorial Park, Hong Kong","J/o Eastern Street & High Street, Sai Ying Pun","Central & Western","Hong Kong Island","Near the Soccer Pitch",22.285877,114.144532,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Li Sing Street Playground","Li Sing Street, Sai Ying Pun","Central & Western","Hong Kong Island","Near the Basketball Court",22.286824,114.145799,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Mount Austin Playground","Mount Austin Road Playground, Hong Kong","Central & Western","Hong Kong Island","Next to the Children's Playground",22.272847,114.147888,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Pok Fu Lam Road Playground","Pokfulam Road, Pokfulam","Central & Western","Hong Kong Island","Near the Toilet Block",22.278083,114.131085,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Pok Fu Lam Road Playground","Pokfulam Road, Pokfulam","Central & Western","Hong Kong Island","Near the Pavilion",22.277737,114.131274,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Pok Fu Lam Road Playground","Pokfulam Road, Pokfulam","Central & Western","Hong Kong Island","Near the Soccer Pitch",22.278406,114.131473,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Pok Fu Lam Road Playground","Pokfulam Road, Pokfulam","Central & Western","Hong Kong Island","Near the Basketball Court",22.277313,114.131326,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Queen Street Rest Garden","Queen's Road West near Queen's Terrace","Central & Western","Hong Kong Island","Near the Children's Play Area",22.287229,114.147887,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sai Ning Street Garden","Sai Ning Street, Kennedy Town","Central & Western","Hong Kong Island","Near the entrance of Sai Ning Street",22.281632,114.121277,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Shek Tong Tsui Sports Centre","470 Queen's Road West, Hong Kong","Central & Western","Hong Kong Island","Outside Children Playroom on the 5/F",22.2857549,114.1362025,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Shek Tong Tsui Sports Centre","470 Queen's Road West, Hong Kong","Central & Western","Hong Kong Island","Next to the TV cabinet on the 5/F Lobby",22.2857549,114.1362025,"Fountain type ",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Shek Tong Tsui Sports Centre","470 Queen's Road West, Hong Kong","Central & Western","Hong Kong Island","Outside Men's Changing Room and Toilet on the 5/F",22.2857549,114.1362025,"Fountain type ",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Shek Tong Tsui Sports Centre","470 Queen's Road West, Hong Kong","Central & Western","Hong Kong Island","Outside Men's Changing Room and Toilet on the 6/F",22.2857549,114.1362025,"Fountain type ",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Shek Tong Tsui Sports Centre","470 Queen's Road West, Hong Kong","Central & Western","Hong Kong Island","Outside Men's Changing Room and Toilet on the 6/F",22.2857549,114.1362025,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sheung Wan Sports Centre","11/F to 13/F, Sheung Wan Municipal Services Building, No. 345 Queen's Road Central, Sheung Wan, Hong Kong.","Central & Western","Hong Kong Island","Near Toilets & Changing Room at the corridor on the 11/F",22.2864064,114.1498432,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Sheung Wan Sports Centre","11/F to 13/F, Sheung Wan Municipal Services Building, No. 345 Queen's Road Central, Sheung Wan, Hong Kong.","Central & Western","Hong Kong Island","Near Men's Toilets & Changing Room at the corridor on the 12/F",22.2864064,114.1498432,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Smithfield Sports Centre","Smithfield, Kennedy Town, Sai Wan ","Central & Western","Hong Kong Island","Outside Men's / Ladies' Changing rooms on the 4/F",22.281742,114.128424,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Smithfield Sports Centre","Smithfield, Kennedy Town, Sai Wan ","Central & Western","Hong Kong Island","Outside Men's / Ladies' Changing room on the 5/F",22.281742,114.128424,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Smithfield Sports Centre","Smithfield, Kennedy Town, Sai Wan ","Central & Western","Hong Kong Island","Near the staircases on the 7/F",22.281742,114.128424,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Sun Yat Sen Memorial Park","Eastern Street North, Sai Ying Pun","Central & Western","Hong Kong Island","Near the Park office",22.289683,114.146372,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sun Yat Sen Memorial Park","Eastern Street North, Sai Ying Pun","Central & Western","Hong Kong Island","Near the Artificial Turf Soccer Pitch",22.289472,114.146581,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sun Yat Sen Memorial Park","Eastern Street North, Sai Ying Pun","Central & Western","Hong Kong Island","Next to the Basketball Court",22.289276,114.146133,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sun Yat Sen Memorial Park","Eastern Street North, Sai Ying Pun","Central & Western","Hong Kong Island","Next to the Children's Play Area",22.289224,114.144897,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sun Yat Sen Memorial Park Sports Centre","No. 18, Eastern Street North , Sai Ying Pun, Hong Kong","Central & Western","Hong Kong Island","Near Men's / Ladies' Changing Room on the 1/F",22.2901015,114.143418,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sun Yat Sen Memorial Park Sports Centre","No. 18, Eastern Street North , Sai Ying Pun, Hong Kong","Central & Western","Hong Kong Island","Near Men's / Ladies' Changing Room at the arena on the 2/F",22.2901015,114.143418,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sun Yat Sen Memorial Park Swimming Pool","Eastern Street North, Sai Ying Pun, Sheung Wan","Central & Western","Hong Kong Island","1/F entrance lobby ",22.290096,114.144404,"Fountain type",2,"06:30","22:00  ","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Sun Yat Sen Memorial Park Swimming Pool","Eastern Street North, Sai Ying Pun, Sheung Wan","Central & Western","Hong Kong Island","Pool deck near first aid room",22.290096,114.144404,"Fountain type",2,"06:30","22:00  ","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Aldrich Bay Park","10 Oi Tak Street, Sai Wan Ho","Eastern","Hong Kong Island","Near Children Playground Area",22.282963,114.223597,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Aldrich Bay Park","10 Oi Tak Street, Sai Wan Ho","Eastern","Hong Kong Island","Near Lamp Post JP11",22.282848,114.224634,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Aldrich Bay Park","10 Oi Tak Street, Sai Wan Ho","Eastern","Hong Kong Island","Along Jogging Trail",22.282558,114.224931,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Aldrich Bay Park","10 Oi Tak Street, Sai Wan Ho","Eastern","Hong Kong Island","Inside Babycare Room",22.282389,114.22492,"Fountain type",1,"07:00","22:00",,"Hot / Cold","Indoor",
"Aldrich Bay Promenade","Oi Lai Street, Sai Wan Ho","Eastern","Hong Kong Island","Outside of Toilet Block",22.28253,114.22991,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chai Wan Park","Tsui Wan Street, Chai Wan","Eastern","Hong Kong Island","Near Basketball Court no.3",22.267194,114.238443,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chai Wan Park","Tsui Wan Street, Chai Wan","Eastern","Hong Kong Island","Near Basketball Court no.3",22.267194,114.238443,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Chai Wan Park","Tsui Wan Street, Chai Wan","Eastern","Hong Kong Island","Entrance of Soccer Pitch no.2",22.267194,114.238443,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Chai Wan Park","Tsui Wan Street, Chai Wan","Eastern","Hong Kong Island","Entrance of Soccer Pitch no.2",22.267194,114.238443,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chai Wan Sports Centre","6 Yee Shun Street, Chai Wan, Hong Kong","Eastern","Hong Kong Island","1/F Corridor",22.265238,114.239875,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Chai Wan Sports Centre","6 Yee Shun Street, Chai Wan, Hong Kong","Eastern","Hong Kong Island","3/F Lobby",22.265238,114.239875,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Chai Wan Swimming Pool","345 Sun Ha Street, Chai Wan, Hong Kong","Eastern","Hong Kong Island","Lobby (Outside Men's Changing Room)",22.265096,114.245861,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Chai Wan Swimming Pool","345 Sun Ha Street, Chai Wan, Hong Kong","Eastern","Hong Kong Island","Lobby (Outside Ladies' Changing Room)",22.265096,114.245861,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Cloud View Road Service Reservoir Playground","Cloud View Road, North Point","Eastern","Hong Kong Island","Outside of Office Block",22.284871,114.194999,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Fu Hong Street Pet Garden","10, Fu Hong Street , Siu Sai Wan","Eastern","Hong Kong Island","Near Pet Garden Entrance",22.268416,114.248429,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Heng Fa Chuen Playground","Shing Tai Road, Chai Wan","Eastern","Hong Kong Island","Outside of Accessible Toilet",22.274548,114.242111,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Heng Fa Chuen Sitting-out Area","Shing Tai Road, Chai Wan","Eastern","Hong Kong Island","Near the Entrance",22.278743,114.238686,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Island East Sports Centre","52 Lei King Road, Sai Wan Ho, Hong Kong","Eastern","Hong Kong Island","Outside Ladies' Toilet and Changing Room on the G/F",22.284699,114.222268,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Island East Sports Centre","52 Lei King Road, Sai Wan Ho, Hong Kong","Eastern","Hong Kong Island","Bowling Green on the 3/F",22.284699,114.222268,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Island East Sports Centre","52 Lei King Road, Sai Wan Ho, Hong Kong","Eastern","Hong Kong Island","Outside Men's Toilet on the 4/F",22.284699,114.222268,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Island East Swimming Pool","52 Lei King Road, Sai Wan Ho, Hong Kong","Eastern","Hong Kong Island","1/F Lobby",22.284699,114.222268,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Java Road Sports Centre","3/F, Java Road Municipal Services Building, 99 Java Road, North Point, Hong Kong","Eastern","Hong Kong Island","3/F Lobby",22.29272,114.199342,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Java Road Sports Centre","3/F, Java Road Municipal Services Building, 99 Java Road, North Point, Hong Kong","Eastern","Hong Kong Island","Outside squash court on the 5/F",22.29272,114.199342,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Lei Yue Mun Park","75 Chai Wan Road","Eastern","Hong Kong Island","Block 10",22.27933,114.2328,"Fountain type",1,"00:00","24:00","Outside camping period","Ambient temperature","Outdoor","For use by venue / facility hirers"
"Lei Yue Mun Park","75 Chai Wan Road","Eastern","Hong Kong Island","Block 20",22.27797,114.2325,"Fountain type",1,"00:00","24:00","Outside camping period","Ambient temperature","Outdoor","For use by venue / facility hirers"
"North Point Service Reservoir Playground","Tin Hau Temple Road, North Point","Eastern","Hong Kong Island","Near Entrance of Basketball Court ",22.287972,114.20123,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Pak Fuk Road Safety Town","Pak Fuk Road , North Point","Eastern","Hong Kong Island","Outside of Lecture room",22.290485,114.206429,"Fountain type",3,"07:00","22:00",,"Ambient temperature","Outdoor",
"Quarry Bay Park","Taikoo Shing Road, Quarry Bay","Eastern","Hong Kong Island","Outside Changing Rooms and Toilets of Quarry Bay Park Phase I",22.288239,114.215489,"Fountain type",2,"06:00","23:00",,"Ambient temperature / Cold","Outdoor",
"Quarry Bay Park","Taikoo Shing Road, Quarry Bay","Eastern","Hong Kong Island","Outside Toilets of Quarry Bay Park Phase I (near to Lei King Wan Entrance)",22.287645,114.221882,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Quarry Bay Park","Taikoo Shing Road, Quarry Bay","Eastern","Hong Kong Island","Near the Pavilion next to Fireboat Alexander Grantham Exhibition Gallery at Quarry Bay Park Phase I",22.289501,114.217677,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Quarry Bay Park","Hoi Chak Street, Quarry Bay","Eastern","Hong Kong Island","Entrance of 7-a-side Artificial Turf Pitch at Quarry Bay Park Phase II",22.290304,114.211382,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Quarry Bay Park","Hoi Chak Street, Quarry Bay","Eastern","Hong Kong Island","Children's Playground No. 1 at Quarry Bay Park Phase II",22.290184,114.211579,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Quarry Bay Park","Hoi Chak Street, Quarry Bay","Eastern","Hong Kong Island","Children's Playground No. 2 at Quarry Bay Park Phase II",22.290154,114.211989,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Quarry Bay Park","Hoi Chak Street, Quarry Bay","Eastern","Hong Kong Island","Entrance of Basketball Courts at Quarry Bay Park Phase II",22.290883,114.210477,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Quarry Bay Sports Centre","Quarry Bay Street, Eastern","Eastern","Hong Kong Island","6/F Lobby",22.283857,114.211801,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Quarry Bay Sports Centre","Quarry Bay Street, Eastern","Eastern","Hong Kong Island","7/F Lobby",22.283857,114.211801,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sai Wan Ho Playground","Lei King Road, Lei King Wan","Eastern","Hong Kong Island","Outside Men's Changing Room and Toilet",22.286545,114.222817,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
